Card Number,Card Name,Barcode Data
1,Sun's Grace,a0000000
2,Grave Bane,a0010000
3,Stormlander,a0020000
4,Heartstealer,a0030000
5,Nameless Blade,a0040000
6,Firebrand,a0050000
7,Soul Fists,a0060000
8,Frost Scythe,a0070000
9,Master's Katana,a0080000
10,Cursed Axe,a0090000
11,Flail,a00a0000
12,Broadsword,a00b0000
13,Nightmare's Bite,a00c0000
14,Moon Daggers,a00d0000
15,Fortune Spear,a00e0000
16,Twin Bow,a10f0000
17,Red Snake,a10g0000
18,Sabrewing,a10h0000
19,The Pink Scoundrel,a10i0000
20,Corrupted Beacon,a10j0000
21,Auto Crossbow,a10k0000
22,Firebolt Thrower,a10l0000
23,Guardian Bow,a10m0000
24,Lightning Harp Crossbow,a10n0000
25,The Green Menace,a10o0000
26,Imploding Crossbow,a10p0000
27,Harp Crossbow,a10q0000
28,Souldancer Robe,a20r0000
29,Battle Robe,a20s0000
30,Wolf Armor,a20t0000
31,Grim Armor,a20u0000
32,Highland Armor,a20v0000
33,Renegade Armor,a20w0000
34,Spider Armor,a20x0000
35,Full Metal Armor,a20y0000
36,Ember Robe,a20z0000
37,Ender Armor,a20A0000
38,Titan's Shroud,a20B0000
39,Frost Bite,a20C0000
40,Hero's Armor,a20D0000
41,Morris,a30E0000
42,Elaine,a30F0000
43,Valorie,a30G0000
44,Violet,a30H0000
45,Ivy,a30I0000
46,Meadow,a40J0000
47,Sven,a40K0000
48,Sam,a40L0000
49,Elan,a40M0000
50,Ebo,a30N0000
51,Frisk,a30O0000
52,Adriene,a30P0000
53,Wolf,a40Q0000
54,Polar Bear,a40R0000
55,Pig,a40S0000
56,Llama,a40T0000
57,Fox,a40U0000
58,Panda,a40V0000
59,Ocelot,a40W0000
60,Chicken,a40X0000
61,Encrusted Anchor,b00Y0000
62,Battlestaff of Terror,b00Z0000
63,Hawkbrand,b0100000
64,Sponge Striker,b0110000
65,The Last Laugh,b0120000
66,Vine Whip,b0130000
67,Whirlwind,b0140000
68,Whispering Spear,b0150000
69,Bubble Burster,b1160000
70,Nautical Crossbow,b1170000
71,Web Bow,b1180000
72,Bonebow,b1190000
73,Purple Storm,b11a0000
74,Soul Hunter Crossbow,b11b0000
75,Spellbound Crossbows,b21c0000
76,Eye of the Guardian,b21d0000
77,Squid Armor,b21e0000
78,Glow Squid Armor,b21f0000
79,Nimble Turtle Armor,b21g0000
80,Archer's Armor,b21h0000
81,Ghost Kingler,b21i0000
82,Phantom Armor,b21j0000
83,Stalwart Armor,b31m0000
84,Fox Armor,b31m0000
85,The Archeologist,b31m0000
86,Baako,b31n0000
87,Dani,b31o0000
88,Darian,b31p0000
89,Fuego,b31q0000
90,The Kelptomaniac,b31r0000
91,The Monumental,b31s0000
92,Wargen,b31t0000
93,Sheep,b41u0000
94,Rabbit,b41v0000
95,Goat,b41w0000
96,Bee,b41x0000
97,Baby Turtle,b41y0000
98,Iron Golem,b41z0000
99,The Kelptomaniac (Hero),c01A1000
100,Explorer (Hero),c01B1000
101,Valorie (Hero),c01C1000
102,Strider Warrior (Hero),c01D1000
103,Darian (Hero),c01E1000
104,Loge (Hero),c01F1000
105,Skelly (Hero),c01G1000
106,Wargen (Hero),c01H1000
107,Annika (Hero),c01I1000
108,Dani (Hero),c01J1000
109,Frosty (Hero),c01K1000
110,Sven (Hero),c01L1000
111,Nuru (Hero),c01M1000
112,Ivy (Hero),c01N1000
113,Corrupted Defender (Hero),c01O1000
114,Void Voyager (Hero),c01P1000
115,Qamar (Hero),c01Q1000
116,Sam (Hero),c01R1000
117,The Monumental (Hero),c01S1000
118,Eshe (Hero),c01T1000
119,Eternal Knife,d01U0000
120,Bee Stinger,d01V0000
121,Highland Axe,d01W0000
122,Diamond Pickaxe,d01X0000
123,Sugar Rush,d11Y0000
124,Slayer Crossbow,d11Z0000
125,Elite Power Bow,d1200000
126,Phantom Bow,d1210000
127,Hungry Horror,d2220000
128,Wither Armor,d2230000
129,Black Wolf Armor,d2240000
130,Evocation Robe,d2250000
131,Loge,d3260000
132,Annika,d3270000
133,Igor,d3280000
134,Tim,d3290000
135,Blue Sheep,d42a0000
136,Cow,d42b0000
137,Cat,d42c0000
138,Llama (Hero),d02d1000
139,Mayeso (Hero),d02e1000
140,Pake (Hero),d02f1000
141,Annika (Hero),d02g1000
142,The Archeologist (Hero),d02h1000
143,Fuego (Hero),d02i1000
144,Chicken Jockey,e42j0000
